digest,txId,sender,recipient,timestamp,gasPrice,accountNonce,value,commitTime,Broadcast,Monoxide_d1,Monoxide_d2,LBF_d1,LBF_d2,Proposed_d1,Proposed_d2
039f347e9a43846512a7c060ed7d1580e7f13abfbc20df19f16e5f61931b0527,489,0x2910543af39aba0cd09dbb2d50200b3e800a63d2,0x64cf897d51472dc7cff0e6368eb15b9e2d5168e3,1627488113979,11.0,11,7.0049323e+20,1627488118531,1,2,3,1,11,0,0
b9f7b5fb7099dfa2beca3af00787b1571665bd30191500be9dbd4f421f094db2,490,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113979,11.0,11,7.5e+17,1627488118536,1,9,12,3,9,8,9
63c4b66eec158a78ab86f70a2e9e7a2e264154e91d9ccfd2ddcf0bfa3326ca8c,497,0xf9d9b5e431d7b6f9b2b4eac2af4ac96f5ec1b84c,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113981,11.0,11,1.00253746e+18,1627488118574,1,8,12,1,12,7,15
4ea9957ae87bec209636d0f473a17d4ffdb73a7808f59d2e3e4a7f79d98f73d8,498,0x608f4b86321a68453f9adf6f06f7fc3e621739ad,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113981,11.0,11,4.99884614e+18,1627488118612,1,8,13,1,5,12,12
6d937e7352de779c46b3accee7f891d5c8a0d42a5055dc7286424bc40f552ea8,499,0x32be343b94f860124dc4fee278fdcbd38c102d88,0x77eac9a0d62073f5e74ea7312e9d8acf75a19bb9,1627488113981,11.0,11,2.61e+18,1627488118620,1,8,9,1,11,6,15
c75c3fbc6312e9ee1dbe5938934285acf75c7f433d89399b7a7f5b6236bf458b,500,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113981,11.0,11,2.5e+17,1627488118627,2,9,12,3,9,8,9
288e7349ebf9fc4e58c3a2614486d4f94cd9f1277dceccceacd12731b0c32297,501,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113981,11.0,11,5.0e+17,1627488118635,2,9,12,3,9,8,9
f889002d842025a9ba132850154f1a90cae92f19933fe264d26fa04cb5733197,504,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113982,11.0,11,2.5e+17,1627488118642,2,9,12,3,9,8,9
20cb10baaff023bd189309e3aefcf1f000ee11889fa51279bdb68fd331105307,507,0x32be343b94f860124dc4fee278fdcbd38c102d88,0xf2f8c421d2289c5615caf34a37f95975f29d2f39,1627488113982,11.0,11,1.458676909e+19,1627488118654,2,8,9,1,11,6,15
f1a2fe8aa4b4552e938eaea8988c7402b02ef12de2eaefbe7bf025d0bfc057ce,508,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113983,11.0,11,5.0e+17,1627488118661,2,9,12,3,9,8,9
b8b4000e6b0e1984e7bf1a8daa531466c19769bfb972eff1d838935d46b1a93f,509,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113983,11.0,11,9.0e+16,1627488118668,2,9,12,3,9,8,9
a6cba5d3548784682cb90fb1446982f03515cb18fda006ff2f5f9a767b2715ee,510,0xcf684dfb8304729355b58315e8019b1aa2ad1bac,0xc1b31161a6ae0a6d74684f01303155a33b1ae855,1627488113983,11.0,11,0.0,1627488118722,2,5,12,5,7,3,5
afe4c704f404b9d505d2c9e2eae73e77af5b538fdec14a242876f1fa87438fe8,512,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113984,11.0,11,8.55e+16,1627488118734,2,9,12,3,9,8,9
5d651fbc3dbd8b26ddae247119970af225281184b2d272e7b230b5d410b27493,513,0x4424678f75d3937e1c6af05b354ebe2f97f2f1bf,0x32be343b94f860124dc4fee278fdcbd38c102d88,1627488113984,11.0,11,1.51598829e+18,1627488118743,2,8,15,1,12,7,15
dd333ef3b4eb5ac765b0c378159ed70b35a033d71fff2e9fb68a34137ffe33d5,517,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113984,11.0,11,5.0e+17,1627488118751,2,9,12,3,9,8,9
e2a00afed3287cfd4e8d9c9ffab76140dc93acfa2c74d61ece84c72472a18325,519,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,0x058f7397eedd4193bbcef8cd9d586e6802b93249,1627488113985,11.0,11,1000000000000.0,1627488118762,2,9,12,3,9,8,9
f66882792b5903bae5d80393739ac622dc3764a70da89b14f5128624b97877b6,522,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113985,11.0,11,2.5e+17,1627488118772,2,9,12,3,9,8,9
a706c03c5b65a20233cf26734746df274a78dbe7b4a03b198cdf45358c80e79e,525,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113986,11.0,11,1.5e+17,1627488118794,2,9,12,3,9,8,9
4ade31f931454efea6c16e81bc183b1230742f37b8f1dc3a82e47d33edd4ba57,527,0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,0x278020eafcda4e4e954c11ebd25a97af1d24cf19,1627488113986,11.0,11,1.00064858e+18,1627488118802,2,9,14,2,9,6,7
39203aa0a845f469cbaf798b1b812df674443fec711e6e43694af41c82f755ed,529,0x058f7397eedd4193bbcef8cd9d586e6802b93249,0xc47bbab627ec67afb5df87fecba7e53c59fc346c,1627488113987,11.0,11,1.5e+17,1627488118809,2,9,12,3,9,8,9
